Categoria_Amazon;Categorias_ML_Correlacionadas;Fonte;ASIN;Nome;Preço;Nota;Avaliações;Categoria_Original
Automotivo;Acessórios para Veículos;Amazon;B07RRYYBWG;Limpa Estofados ZIP spray 300ml, MY PLACE, AE2500011;17,75;4,3;247.0;Automotivo
Automotivo;Acessórios para Veículos;Amazon;B07JPJKHSH;Proauto Limpa e Hidrata Couro 150 g;19,01;4,6;3.795;Automotivo
Automotivo;Acessórios para Veículos;Amazon;B08N844668;vonixx Shampoo Automotivo Concentrado 1:400 V-floc 3 Litros;102,9;4,8;1.429;Automotivo
Automotivo;Acessórios para Veículos;Amazon;B07YCLFHQW;GLACO BIG 120ml;78,99;4,8;995.0;Automotivo
Automotivo;Acessórios para Veículos;Amazon;B0CB4MT1DZ;Capa de Cobrir Moto em Couro Protetora Impermeável Anti-uv (SCOOTER ELÉTRICA);69,9;4,6;1.07;Automotivo
Automotivo;Acessórios para Veículos;Amazon;B07WSFY5MM;Protetor Para,Sol Universal com Superficie Refletiva, Tramontina;17,95;4,3;2.277;Automotivo
Automotivo;Acessórios para Veículos;Amazon;B07VS8XC9X;Rodabrill Sache Aromatizante England;13,5;4,3;2.586;Automotivo
Automotivo;Acessórios para Veículos;Amazon;B07Y5M2YXJ;vonixx REVOX 500ML;39,22;4,8;1.105;Automotivo
Automotivo;Acessórios para Veículos;Amazon;B07QV2LHS3;CAPACETE PRO TORK R8 FOSCO 60 CZ/RS;139;4,4;4.903;Automotivo
Automotivo;Acessórios para Veículos;Amazon;B0CGGBT8FN;Kit V-Floc Shampoo Neutro Super Concentrado Automotivo + Cera Liquida Protetora Tok Final Vonixx Luva Pano Microfibra;71,09;4,7;278.0;Automotivo
Automotivo;Acessórios para Veículos;Amazon;B07XH8PP78;Luva de Microfibra, Tramontina;26,9;4,8;1.856;Automotivo
Automotivo;Acessórios para Veículos;Amazon;B00CJO4XYE;Bosch Lâmpada de Farol H11 Bosch Pure Light - 12V 55W;29,89;4,6;8.798;Automotivo
Automotivo;Acessórios para Veículos;Mercado Livre;LBU3065974040;Tag Ultrapasse - Pagamento De Pedágios E Estacionamentos;19,90;4,9;38708.0;Acessórios para Veículos
Automotivo;Acessórios para Veículos;Mercado Livre;MLB21296222;Capacete Aberto Pro Tork New Liberty Three Abs Micrométrico Viseira Simples 58cm Preto Fosco;139,00;4,7;51197.0;Acessórios para Veículos
Automotivo;Acessórios para Veículos;Mercado Livre;MLB23417953;Capacete Integral Robocop Stronger Faster Gladiator Etceter Cor Cinza/rosa Tamanho Do Capacete 60 Fosco;228,71;4,6;20728.0;Acessórios para Veículos
Automotivo;Acessórios para Veículos;Mercado Livre;MLB58079464;Carregador Inteligente De Bateria Automotiva Carro Moto Caminhão Jet Sky Empilhadeira 12v 6 Amperes Bivolt 110/220 V - Thop Tech;53,97;4,8;3293.0;Acessórios para Veículos
Automotivo;Acessórios para Veículos;Mercado Livre;MLB62564330;Carregador Inteligente De Bateria Automotiva 12v 6a Recupera Baterias 4ah A 100ah Carro Moto Lancha Jetski Caminhão Proteção Contra Curto Polaridade Invertida Sobrecarga Rápido Seguro;59,90;4,8;962.0;Acessórios para Veículos
Automotivo;Acessórios para Veículos;Mercado Livre;MLB3782053541;Limpador De Para Brisa Dianteiro Palheta Original Bosch Par;78,72;4,8;15612.0;Acessórios para Veículos
Automotivo;Acessórios para Veículos;Mercado Livre;MLB24293583;V-mol 1,5lt. Shampoo Desengraxante Lavagem Automotiva Vonixx;33,17;4,9;11520.0;Acessórios para Veículos
Automotivo;Acessórios para Veículos;Mercado Livre;LBU1965549689;Quebra Sol Para Brisa Carro Protetor Solar Guarda Chuva;33,97;4,4;11050.0;Acessórios para Veículos
Automotivo;Acessórios para Veículos;Mercado Livre;LBU3104629412;Maçarico Culinário Portátil Cozinha Gourmet +2 Refil Elétrico;35,57;4,8;1619.0;Acessórios para Veículos
