Categoria_Amazon;Categorias_ML_Correlacionadas;Produto_Amazon;ASIN_Amazon;Status
Beleza;Beleza e Cuidado Pessoal;Lola From Rio - Morte Subita - Condicionador hidratante para todos os tipos de cabelos secos e danificados, vegano, sem crueldade, sem parabenos, sem sulfatos, 250 g;B074LW78DJ;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Leave-In L'Oréal Paris Elseve Reparação Total 5 Cicatri Renov, Reparação Instantânea, Desembaraço Imediato, Repara os Danos Fio a Fio, Para Todos os Tipos de Cabelo 100ml;B0CTTVR415;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Clear Shampoo Men Anticaspa Ice Cool Menthol 400Ml;B07LFGWRC7;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;MANTECORP - Hidratante Epidrat Calm B5 - Hidrata e Acalma a Pele, Conforto Imediato, D-Pantenol;B09RL3X7RB;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Cetaphil Creme Hidratante;B079VXJK79;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Cetaphil Loção Hidratante;B079VPMXHF;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Neostrata Minesol Protetor Solar Facial Oil Control, Sem Cor, FPS 70, 40g;B07Y2BK4GJ;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;ISDIN Protetor Solar Facial Fusion Water 5 Stars Sem Cor FPS 60-50ml;B08F864LDD;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Neutrogena Hidratante Facial Hydro Boost Water Gel, 50g;B06XQ27YLL;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;KIKO MILANO, 3D Hydra Lipgloss, Gloss Hidratante Para Os Lábios, Com Efeito 3D, Fórmula Com Extrato de Bidens;B07DBS1RV9;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;SKIN AQUA® Super Moisture Milk 40g - Protetor Solar Facial sem cor FPS50 com Ácido Hialurônico e Textura Leve;B0C9L4ZNZ8;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;CeraVe, Gel de Limpeza Facial para pele oleosa, com Ácido Hialurônico e Niacinamida;B07XP6N3BC;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;La Roche-posay Effaclar Gel Alta Tolerância. Limpeza Facial. Limpa a Pele Suavemente Reduzindo a Oleosidade e Eliminando o Brilho. Pele Oleosa e Sensível. Caprylyl Glycol, Glicerina, PCA de Zinco.;B07Y2C1PWG;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;La Roche-Posay, Ultra Cover, Protetor Solar com Cor e Performance de Maquiagem, 12h de cobertura de base em uma única camada, Textura Fluida, Oil free, Toque Seco, FPS60, 30g;B0BLZVD5S5;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Penetraitt - Shampoo 250ml;B0CRZCN37Q;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;La Roche-Posay Effaclar Gel de Limpeza Facial Antiacne Concentrado com Ácido Salicílico, Zinco e LHA, Limpeza Profunda, Reduz Oleosidade e Desobstrui os Poros, 300ml;B07KYVSKWR;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Vichy Dercos Energy+, Shampoo Estimulante, Tratamento Antiqueda para Cabelos Fracos e Quebradiços, Fortalece os Fios com Aminexil, Niacinamida e Vitamina E, 400g;B0C3SQL65C;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;L'Oréal Professionnel Óleo 10 em 1 Absolut Repair | Multi-benefícios para cabelos secos e danificados | Repara e Promove Brilho | Com Gold Quinoa e Proteínas;B0918FHY6P;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;CeraVe Creme Hidratante Corporal, para Pele Seca a Extra Seca, com 3 Ceramidas Essenciais e Ácido Hialurônico, Hidratação Profunda e Duradoura, Tecnologia MVE, Sem Perfume, 453g;B07XP8K162;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Darrow Actine Gel de Limpeza Dermatológico Facial com Ácido Salicílico, Vitamina C e Lactato de Mentila, Redução de 86% da Acne e -90% Oleosidade Imediatamente, 300g refil;B0BT86GL3F;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Neutrogena Sun Fresh Protetor Solar Corporal, FPS 50, 200ml;B079ZS4Z5Z;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;EUCERIN Dual Sérum Facial Antimanchas e Anti-idade 30ml, Anti-Pigment, Clareador, Thiamidol, Ácido Hialurônico;B07SJSZHD7;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Wella Professionals Oil Reflections Óleo Capilar 100 ml;B07Y1T5YZ2;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;ISDIN Protetor Solar Facial Fusion Water 5 Stars;B09SMBB1KN;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Photoage Water, Protetor Solar Incolor com FPS50 e PPD20, Fórmula Enriquecida com Hialuronato de Sódio e Tecnologia Double UV Protect, 40g;B08STYKTB1;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Revlon Professional Uniq One all in one hair treatment 150ml Leave-in 10 em 1, Revlon, VERMELHO, 150ml;B00M9B66BU;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Vichy Dercos Energy+, Refil Shampoo Estimulante, Tratamento Antiqueda para Cabelos Fracos e Quebradiços, Fortalece os Fios com Aminexil, AHA, Niacinamida e Vitamina E, 200g;B0C3SM52XX;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;La Roche-Posay Anthelios Airlicium, Protetor Solar Facial Antioleosidade FPS80 com Controle de Oleosidade, Efeito Matte, Cobertura Uniforme e Toque Seco Sem Cor 40g;B0BJ347WND;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Cetaphil Gel Creme Rápida Absorção;B0B4WYSS9P;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Cetaphil Pro Ureia Creme Restaurador Para Os Pés 10% 60g;B09X5V3SL1;Agrupado por categoria
Beleza Premium;Beleza e Cuidado Pessoal;MANTECORP - Hidratante Epidrat Calm B5 - Hidrata e Acalma a Pele, Conforto Imediato, D-Pantenol;B09RL3X7RB;Agrupado por categoria
Beleza Premium;Beleza e Cuidado Pessoal;Cetaphil Creme Hidratante;B079VXJK79;Agrupado por categoria
Beleza Premium;Beleza e Cuidado Pessoal;Cetaphil Loção Hidratante;B079VPMXHF;Agrupado por categoria
Beleza Premium;Beleza e Cuidado Pessoal;Neostrata Minesol Protetor Solar Facial Oil Control, Sem Cor, FPS 70, 40g;B07Y2BK4GJ;Agrupado por categoria
Beleza Premium;Beleza e Cuidado Pessoal;ISDIN Protetor Solar Facial Fusion Water 5 Stars Sem Cor FPS 60-50ml;B08F864LDD;Agrupado por categoria
Beleza Premium;Beleza e Cuidado Pessoal;Neutrogena Hidratante Facial Hydro Boost Water Gel, 50g;B06XQ27YLL;Agrupado por categoria
Beleza Premium;Beleza e Cuidado Pessoal;KIKO MILANO, 3D Hydra Lipgloss, Gloss Hidratante Para Os Lábios, Com Efeito 3D, Fórmula Com Extrato de Bidens;B07DBS1RV9;Agrupado por categoria
Beleza Premium;Beleza e Cuidado Pessoal;SKIN AQUA® Super Moisture Milk 40g - Protetor Solar Facial sem cor FPS50 com Ácido Hialurônico e Textura Leve;B0C9L4ZNZ8;Agrupado por categoria
Beleza Premium;Beleza e Cuidado Pessoal;CeraVe, Gel de Limpeza Facial para pele oleosa, com Ácido Hialurônico e Niacinamida;B07XP6N3BC;Agrupado por categoria
Beleza Premium;Beleza e Cuidado Pessoal;La Roche-posay Effaclar Gel Alta Tolerância. Limpeza Facial. Limpa a Pele Suavemente Reduzindo a Oleosidade e Eliminando o Brilho. Pele Oleosa e Sensível. Caprylyl Glycol, Glicerina, PCA de Zinco.;B07Y2C1PWG;Agrupado por categoria
